Time, Movement Vector, Movement Magnitude, Left Vector Similarity, Right Vector Similarity
1726000176.7744782, [-5  1], 5.0990195135927845, 0.9805806756909202, -0.9805806756909202
1726000177.2317042, [-42  12], 43.68065933568311, 0.9615239476408232, -0.9615239476408232
1726000177.368618, [-1  0], 1.0, 1.0, -1.0
1726000177.4160025, [1 0], 1.0, -1.0, 1.0
1726000177.5566816, [1 0], 1.0, -1.0, 1.0
1726000178.0072126, [ 45 -12], 46.57252408878007, -0.9662349396012463, 0.9662349396012463
1726000178.0542927, [7 0], 7.0, -1.0, 1.0
1726000178.179292, [18 -4], 18.439088914585774, -0.9761870601839528, 0.9761870601839528
1726000178.3038037, [28 -9], 29.410882339705484, -0.9520285612852643, 0.9520285612852643
1726000178.3493724, [26 -3], 26.1725046566048, -0.9934089358711311, 0.9934089358711311
1726000178.3906102, [ 8 -1], 8.06225774829855, -0.9922778767136677, 0.9922778767136677
1726000178.4301858, [ 9 -1], 9.055385138137417, -0.9938837346736188, 0.9938837346736188
1726000178.4765909, [ 8 -1], 8.06225774829855, -0.9922778767136677, 0.9922778767136677
1726000178.5226808, [9 0], 9.0, -1.0, 1.0
1726000178.5704541, [8 0], 8.0, -1.0, 1.0
1726000178.6176023, [ 7 -1], 7.0710678118654755, -0.9899494936611665, 0.9899494936611665
1726000178.6643755, [8 0], 8.0, -1.0, 1.0
1726000178.7114015, [15 -1], 15.033296378372908, -0.9977851578566089, 0.9977851578566089
1726000178.7597995, [20  0], 20.0, -1.0, 1.0
1726000178.8053699, [ 8 -1], 8.06225774829855, -0.9922778767136677, 0.9922778767136677
1726000178.8531754, [ 8 -1], 8.06225774829855, -0.9922778767136677, 0.9922778767136677
1726000178.8972416, [7 1], 7.0710678118654755, -0.9899494936611665, 0.9899494936611665
1726000178.9348197, [9 0], 9.0, -1.0, 1.0
1726000178.9789407, [8 0], 8.0, -1.0, 1.0
1726000179.0240114, [9 1], 9.055385138137417, -0.9938837346736188, 0.9938837346736188
1726000179.0626147, [10  0], 10.0, -1.0, 1.0
1726000179.1015952, [18  3], 18.24828759089466, -0.9863939238321437, 0.9863939238321437
1726000179.1484165, [9 1], 9.055385138137417, -0.9938837346736188, 0.9938837346736188
1726000179.1952038, [24  3], 24.186773244895647, -0.9922778767136677, 0.9922778767136677
1726000179.2420585, [6 2], 6.324555320336759, -0.9486832980505138, 0.9486832980505138
1726000179.2882204, [6 0], 6.0, -1.0, 1.0
1726000179.3354073, [6 1], 6.082762530298219, -0.9863939238321437, 0.9863939238321437
1726000179.3734145, [6 2], 6.324555320336759, -0.9486832980505138, 0.9486832980505138
1726000179.4132128, [2 0], 2.0, -1.0, 1.0
1726000179.4605653, [7 2], 7.280109889280518, -0.9615239476408232, 0.9615239476408232
1726000179.5107138, [7 0], 7.0, -1.0, 1.0
1726000179.5472605, [1 1], 1.4142135623730951, -0.7071067811865475, 0.7071067811865475
1726000179.635299, [12  1], 12.041594578792296, -0.9965457582448796, 0.9965457582448796
1726000179.682387, [0 0], 0.0, 0, 0
1726000179.7302077, [1 0], 1.0, -1.0, 1.0
1726000179.777243, [1 1], 1.4142135623730951, -0.7071067811865475, 0.7071067811865475
1726000179.825441, [ 0 -1], 1.0, 0.0, 0.0
1726000179.8735223, [-1 -1], 1.4142135623730951, 0.7071067811865475, -0.7071067811865475
1726000179.9211414, [-10  -3], 10.44030650891055, 0.9578262852211513, -0.9578262852211513
1726000179.9662294, [1 2], 2.23606797749979, -0.4472135954999579, 0.4472135954999579
1726000180.00531, [-1 -1], 1.4142135623730951, 0.7071067811865475, -0.7071067811865475
1726000180.0439906, [0 1], 1.0, 0.0, 0.0
1726000180.0943825, [-2 -1], 2.23606797749979, 0.8944271909999159, -0.8944271909999159
1726000180.1384015, [-2  0], 2.0, 1.0, -1.0
1726000180.1845894, [-2  0], 2.0, 1.0, -1.0
