1726000571.2921145, [-1 -1], 1.4142135623730951, [ 1.8 -0.6], 1.8973665961010275, Right
1726000571.337524, [-28   3], 28.160255680657446, [-4.4  0. ], 4.4, Left
1726000571.3843215, [-12   0], 12.0, [-7.8  0.2], 7.8025636812524635, Left
1726000571.4311194, [-12   1], 12.041594578792296, [-10.2   0.4], 10.207840124139876, Left
1726000571.4769378, [-11   1], 11.045361017187261, [-12.8   0.8], 12.824975633505119, Left
1726000571.5237138, [-13   2], 13.152946437965905, [-15.2   1.4], 15.264337522473747, Left
1726000571.5617206, [-13   1], 13.038404810405298, [-12.2   1. ], 12.240914998479484, Left
1726000571.6033974, [-8  2], 8.246211251235321, [-11.4   1.4], 11.485643212288984, Left
1726000571.6517189, [-11   1], 11.045361017187261, [-11.2   1.4], 11.287160847617969, Left
1726000571.699233, [-7  1], 7.0710678118654755, [-10.4   1.4], 10.493807697875924, Left
1726000571.7444065, [-9  3], 9.486832980505138, [-9.6  1.6], 9.73242004847715, Left
1726000571.7819235, [-11   3], 11.40175425099138, [-9.2  2. ], 9.414881836751855, Left
1726000571.8230033, [-23   6], 23.769728648009426, [-12.2   2.8], 12.51718818265508, Left
1726000571.8682253, [-9  6], 10.816653826391969, [-11.8   3.8], 12.396773773849388, Left
1726000571.9185736, [-7  5], 8.602325267042627, [-11.8   4.6], 12.66491215919005, Left
1726000571.9628124, [-12   5], 13.0, [-12.4   5. ], 13.370115930686616, Left
1726000572.010577, [-3  1], 3.1622776601683795, [-10.8   4.6], 11.738824472663351, Left
1726000572.0569558, [-2  2], 2.8284271247461903, [-6.6  3.8], 7.615773105863908, Left
1726000572.103869, [0 0], 0.0, [-4.8  2.6], 5.458937625582473, Left
1726000572.1983547, [ 31 -12], 33.24154027718932, [ 6.5  -2.25], 6.878408246098802, Right
1726000572.2464828, [12 -7], 13.892443989449804, [10.25 -4.25], 11.096170510586074, Right
1726000572.294176, [17 -5], 17.72004514666935, [15. -6.], 16.15549442140351, Right
1726000572.3311756, [16 -5], 16.76305461424021, [19.   -7.25], 20.336236131595246, Right
1726000572.3732004, [17 -5], 17.72004514666935, [18.6 -6.8], 19.804039991880448, Right
1726000572.4200292, [15 -3], 15.297058540778355, [15.4 -5. ], 16.191355718407276, Right
1726000572.4674563, [18 -5], 18.681541692269406, [16.6 -4.6], 17.22556240010758, Right
1726000572.514996, [15 -4], 15.524174696260024, [16.2 -4.4], 16.786899654194638, Right
1726000572.5530403, [ 64 -11], 64.93843238021688, [25.8 -5.6], 26.40075756488817, Right
1726000572.5939429, [13 -2], 13.152946437965905, [25. -5.], 25.495097567963924, Right
1726000572.6319425, [12 -1], 12.041594578792296, [24.4 -4.6], 24.829820780666136, Right
1726000572.6729507, [12  1], 12.041594578792296, [23.2 -3.4], 23.447814397081874, Right
1726000572.7209618, [12  0], 12.0, [22.6 -2.6], 22.749065914889783, Right
1726000572.7678912, [10  1], 10.04987562112089, [11.8 -0.2], 11.801694793545543, Right
1726000572.8130863, [12  2], 12.165525060596439, [11.6  0.6], 11.615506876585284, Right
1726000572.8697598, [6 0], 6.0, [10.4  0.8], 10.430723848324238, Right
1726000572.9098675, [15  4], 15.524174696260024, [11.   1.4], 11.08873302050329, Right
1726000572.9538655, [25  8], 26.248809496813376, [13.6  3. ], 13.926952286842946, Right
1726000573.0478976, [15  7], 16.55294535724685, [15.25  4.75], 15.972632844963288, Right
1726000573.0958178, [6 3], 6.708203932499369, [15.25  5.5 ], 16.211492836873475, Right
1726000573.6894784, [-56 -12], 57.271284253105414, [-56. -12.], 57.271284253105414, Left
1726000573.7352166, [-11  -4], 11.704699910719626, [-33.5  -8. ], 34.44198019858905, Left
1726000573.7823105, [-10  -1], 10.04987562112089, [-25.66666667  -5.66666667], 26.28476533828843, Left
1726000573.8290322, [-9 -1], 9.055385138137417, [-21.5  -4.5], 21.965882636488796, Left
1726000573.874151, [0 0], 0.0, [-17.2  -3.6], 17.572706109191035, Left
1726000573.9243057, [-11   0], 11.0, [-8.2 -1.2], 8.287339742040265, Left
1726000573.9613469, [-11  -1], 11.045361017187261, [-8.2 -0.6], 8.221921916437786, Left
1726000574.0014756, [-22   0], 22.0, [-10.6  -0.4], 10.607544484940895, Left
1726000574.0491679, [-35   1], 35.014282800023196, [-15.8   0. ], 15.8, Left
1726000574.0983372, [-12   1], 12.041594578792296, [-18.2   0.2], 18.20109886792553, Left
1726000574.1453557, [-12   0], 12.0, [-18.4   0.2], 18.40108692441835, Left
1726000574.1919408, [-12   1], 12.041594578792296, [-18.6   0.6], 18.60967490312499, Left
1726000574.236928, [-12   2], 12.165525060596439, [-16.6   1. ], 16.630093204789926, Left
1726000574.2855809, [-11   1], 11.045361017187261, [-11.8   1. ], 11.84229707446997, Left
1726000574.332033, [-12   1], 12.041594578792296, [-11.8   1. ], 11.84229707446997, Left
1726000574.3795195, [-43   8], 43.73785545725808, [-18.    2.6], 18.186808406094787, Left
1726000574.427349, [-10   2], 10.198039027185569, [-17.6   2.8], 17.82133552795637, Left
1726000574.4754503, [-8  4], 8.94427190999916, [-16.8   3.2], 17.10204666114556, Left
1726000574.5230587, [-10   3], 10.44030650891055, [-16.6   3.6], 16.985876486069245, Left
1726000574.5704012, [-9  4], 9.848857801796104, [-16.    4.2], 16.54206758540177, Left
1726000574.616221, [-7  4], 8.06225774829855, [-8.8  3.4], 9.433981132056605, Left
1726000574.6952577, [-11   4], 11.704699910719626, [-9.25  3.75], 9.981232388838565, Left
1726000574.7421372, [-3  2], 3.605551275463989, [-7.5  3.5], 8.276472678623424, Left
1726000574.7796597, [-3  1], 3.1622776601683795, [-6.    2.75], 6.600189391222043, Left
1726000574.8186827, [-1  1], 1.4142135623730951, [-4.5  2. ], 4.924428900898052, Left
1726000574.8960757, [17 -6], 18.027756377319946, [ 2.5 -0.5], 2.5495097567963922, Right
1726000574.9431665, [ 8 -3], 8.54400374531753, [ 5.25 -1.75], 5.533985905294664, Right
1726000574.989821, [0 0], 0.0, [ 6. -2.], 6.324555320336759, Right
1726000575.025831, [ 9 -2], 9.219544457292887, [ 8.5  -2.75], 8.933784192602818, Right
1726000575.1152592, [21 -5], 21.587033144922902, [ 9.5 -2.5], 9.82344135219425, Right
1726000575.163359, [14 -2], 14.142135623730951, [11.   -2.25], 11.22775578644281, Right
1726000575.2105834, [ 52 -10], 52.952809179494906, [24.   -4.75], 24.465536985727496, Right
1726000575.2565975, [14 -2], 14.142135623730951, [25.25 -4.75], 25.69289785135184, Right
1726000575.3021402, [13 -3], 13.341664064126334, [22.8 -4.4], 23.220680437919988, Right
1726000575.3506155, [15 -1], 15.033296378372908, [21.6 -3.6], 21.897945109073593, Right
1726000575.3979964, [12 -3], 12.36931687685298, [21.2 -3.8], 21.537873618349607, Right
1726000575.437039, [14 -2], 14.142135623730951, [13.6 -2.2], 13.776792079435618, Right
1726000575.4760137, [13 -1], 13.038404810405298, [13.4 -2. ], 13.548431643551957, Right
1726000575.5250401, [14 -1], 14.035668847618199, [13.6 -1.6], 13.69379421489895, Right
